Date,quarterName,GDP,GDPGrowth,ABJR,ABJRGrowth,HAYO,HAYOGrowth,NMRY,NMRYGrowth,NPEL,NPELGrowth,DLWF,DLWFGrowth,OtherInvestment,OtherInvestmentGrowth,IKBK,IKBKGrowth,IKBL,IKBLGrowth,NetTrade,Other,OtherGrowth
01/04/1997,1997 Q2,301318,1.144309168,175569,0.948137075,10056,1.977487070,59667,-1.529854441,30892,2.328662758,5395,8.159582999,17534,-1.874755163,76348,3.323769826,-74367,4.699488941,1981,224,-4.377263158
01/07/1997,1997 Q3,303490,0.720833140,176533,0.549071875,10230,1.730310263,59928,0.437427724,32906,6.519487246,5488,1.723818350,17166,-2.098779514,77703,1.774768167,-75443,1.446878320,2260,-1021,-22.232142857
01/10/1997,1997 Q4,307560,1.341065603,177648,0.631609954,10423,1.886608016,61341,2.357829395,33661,2.294414393,5278,-3.826530612,17782,3.588488873,78406,0.904726973,-77082,2.172501094,1324,103,-4.403525955
01/01/1998,1998 Q1,309517,0.636298608,180603,1.663401783,10109,-3.012568358,61421,0.130418480,33640,-0.062386738,5912,12.012125805,17166,-3.464177258,78925,0.661939137,-79033,2.531070808,-108,774,26.058252427
01/04/1998,1998 Q2,311857,0.756016632,182758,1.193224919,10435,3.224849144,62226,1.310626659,34690,3.121284185,5560,-5.953991881,17334,0.978678784,80049,1.424136839,-81446,3.053155011,-1397,251,-2.702842377
01/07/1998,1998 Q3,314098,0.718598588,185488,1.493778658,10597,1.552467657,62355,0.207308842,35074,1.106947247,5881,5.773381295,18123,4.551748010,78334,-2.142437757,-80968,-0.586891928,-2634,-786,-16.525896414
01/10/1998,1998 Q4,317295,1.017835198,185920,0.232899163,10450,-1.387185052,62897,0.869216582,37129,5.859040885,5866,-0.255058663,17679,-2.449925509,77995,-0.432762274,-82116,1.417844087,-4121,1475,-11.506361323
01/01/1999,1999 Q1,318806,0.476212988,189152,1.738382100,10455,0.047846890,61926,-1.543793822,36058,-2.884537693,5973,1.824070917,18075,2.239945698,78869,1.120584653,-83911,2.185932096,-5042,2209,1.990508475
01/04/1999,1999 Q2,319560,0.236507468,190677,0.806229910,10678,2.132950741,64734,4.534444337,35144,-2.534805036,6307,5.591829901,17669,-2.246196404,79125,0.324588875,-84384,0.563692484,-5259,-390,-4.706201901
01/07/1999,1999 Q3,324767,1.629427963,194266,1.882240648,10531,-1.376662296,65062,0.506688912,36772,4.632369679,5968,-5.374980181,18970,7.363178448,81816,3.400947867,-88656,5.062571104,-6840,38,-4.389743590
01/10/1999,1999 Q4,329111,1.337574323,197596,1.714144523,10534,0.028487323,65332,0.414988780,34507,-6.159577940,5508,-7.707774799,18938,-0.168687401,84489,3.267087122,-90407,1.975049630,-5918,2614,271.157894737
01/01/2000,2000 Q1,332555,1.046455451,201539,1.995485739,10722,1.784697171,64627,-1.079103655,36324,5.265598284,5971,8.405954975,19304,1.932622241,84508,0.022488135,-91452,1.155883947,-6944,1012,-2.451415455
01/04/2000,2000 Q2,334960,0.723188645,201739,0.099236376,10469,-2.359634397,66779,3.329877605,38331,5.525272547,5799,-2.880589516,19576,1.409034397,87176,3.157097553,-94354,3.173249355,-7178,-555,-6.193675889
01/07/2000,2000 Q3,336221,0.376462861,204003,1.122242105,10703,2.235170503,66935,0.233606373,36244,-5.444679241,5881,1.414036903,18720,-4.372701267,90554,3.874919703,-94328,-0.027555800,-3774,-2491,13.953153153
01/10/2000,2000 Q4,337211,0.294449187,205640,0.802439180,10673,-0.280295244,66867,-0.101591096,37353,3.059816797,5707,-2.958680497,18905,0.988247863,92453,2.097091238,-100526,6.570689509,-8073,139,-4.223203533
01/01/2001,2001 Q1,341026,1.131339132,206969,0.646275044,10702,0.271713670,68521,2.473566931,35560,-4.800149921,5779,1.261608551,18716,-0.999735520,92789,0.363427904,-100586,0.059686051,-7797,2576,70.129496403
01/04/2001,2001 Q2,343637,0.765630773,208840,0.904000116,11237,4.999065595,67646,-1.276980780,36362,2.255343082,6728,16.421526216,19176,2.457790126,92362,-0.460183858,-99732,-0.849024715,-7370,1018,-2.419254658
01/07/2001,2001 Q3,345468,0.532829701,212572,1.787013982,11356,1.059001513,69004,2.007509683,34835,-4.199438975,7184,6.777645660,20205,5.366082603,88783,-3.874970226,-99320,-0.413107127,-10537,849,-0.664047151
01/10/2001,2001 Q4,346546,0.312040478,214526,0.919217959,11689,2.932370553,70536,2.220161150,33683,-3.307018803,7019,-2.296770601,19522,-3.380351398,87948,-0.940495365,-99176,-0.144985904,-11228,799,-0.235571260
01/01/2002,2002 Q1,348115,0.452753747,216655,0.992420499,11823,1.146376936,70092,-0.629465805,33773,0.267197102,6190,-11.810799259,18730,-4.056961377,92198,4.832400964,-102528,3.379849964,-10330,1182,1.917396746
01/04/2002,2002 Q2,350978,0.822429370,218568,0.882970621,11469,-2.994163918,71750,2.365462535,34665,2.641163059,7004,13.150242326,20506,9.482114255,93704,1.633441072,-106180,3.561953808,-12476,-508,-5.719120135
01/07/2002,2002 Q3,354058,0.877547880,219827,0.576022108,11746,2.415206208,72556,1.123344948,35731,3.075147844,7479,6.781838949,20779,1.331317663,91771,-2.062878853,-105973,-0.194951968,-14202,142,-5.118110236
01/10/2002,2002 Q4,357286,0.911715030,221491,0.756958881,11831,0.723650604,72995,0.605049892,35741,0.027986902,7567,1.176627891,22672,9.110159295,94034,2.465920607,-105554,-0.395383730,-11520,-3491,-102.338028169
01/01/2003,2003 Q1,360733,0.964773319,223392,0.858274151,11557,-2.315949624,73491,0.679498596,35604,-0.383313282,8128,7.413770318,20415,-9.955010586,96144,2.243869239,-108589,2.875305531,-12445,591,-4.677169865
01/04/2003,2003 Q2,365803,1.405471637,227696,1.926658072,11635,0.674915636,74733,1.690002857,35888,0.797663184,7705,-5.204232283,20139,-1.351947098,92845,-3.431311366,-106841,-1.609739476,-13996,2003,9.556683587
01/07/2003,2003 Q3,370428,1.264341736,229416,0.755393156,12182,4.701332187,75603,1.164144354,35062,-2.301604993,7675,-0.389357560,21922,8.853468395,95469,2.826215736,-106542,-0.279855112,-11073,-359,-4.716924613
01/10/2003,2003 Q4,374127,0.998574622,231446,0.884855459,12352,1.395501560,76659,1.396769969,35065,0.008556272,7624,-0.664495114,23309,6.326977466,97650,2.284511203,-110602,3.810703760,-12952,624,-10.952646240
01/01/2004,2004 Q1,375324,0.319944832,232818,0.592794864,12264,-0.712435233,76049,-0.795731747,36797,4.939398260,8633,13.234522560,22567,-3.183319748,100293,2.706605223,-111916,1.188043616,-11623,-2181,-17.980769231
01/04/2004,2004 Q2,376455,0.301339643,236097,1.408396258,12239,-0.203848663,77064,1.334665808,36035,-2.070820991,8827,2.247191011,22641,0.327912439,98024,-2.262371252,-115060,2.809249794,-17036,588,-5.078404402
01/07/2004,2004 Q3,376942,0.129364732,237519,0.602294820,12462,1.822044285,77504,0.570954012,34337,-4.712085472,8453,-4.237000113,23298,2.901815291,99052,1.048722762,-116629,1.363636364,-17577,946,2.435374150
01/10/2004,2004 Q4,378470,0.405367404,238044,0.221034949,12846,3.081367357,78191,0.886405863,33936,-1.167836445,8425,-0.331243346,22942,-1.528028157,102915,3.899971732,-119767,2.690582960,-16852,938,-0.033826638
01/01/2005,2005 Q1,381142,0.706000476,241346,1.387138512,12734,-0.871866729,77883,-0.393907227,34349,1.216996700,9741,15.620178042,22469,-2.061720861,101220,-1.646990235,-118010,-1.467015121,-16790,-590,-6.515991471
01/04/2005,2005 Q2,385058,1.027438592,241854,0.210486190,12391,-2.693576253,79192,1.680726218,52059,51.558997351,-8807,-190.411662047,24233,7.850816681,105249,3.980438648,-122349,3.676807050,-17100,1236,-12.379661017
01/07/2005,2005 Q3,389023,1.029715004,243808,0.807925443,12674,2.283915745,79115,-0.097232044,35605,-31.606446532,9571,-208.674917679,24242,0.037139438,111262,5.713118414,-124889,2.076028411,-13627,-2365,-11.653721683
01/10/2005,2005 Q4,394268,1.348249332,246080,0.931880824,12857,1.443900899,79728,0.774821462,33850,-4.929082994,8032,-16.079824470,25940,7.004372577,116300,4.528050907,-128581,2.956225128,-12281,62,-4.104862579
01/01/2006,2006 Q1,396566,0.582852273,245053,-0.417343953,12833,-0.186668741,80418,0.865442505,34123,0.806499261,8109,0.958665339,25845,-0.366229761,126936,9.145313844,-139241,8.290493930,-12305,2490,156.645161290
01/04/2006,2006 Q2,398553,0.501051527,248790,1.524976230,12667,-1.293540092,80425,0.008704519,35702,4.627377429,8530,5.191762239,23398,-9.467982202,133792,5.401147035,-144493,3.771877536,-10701,-258,-4.414457831
01/07/2006,2006 Q3,399251,0.175133546,250116,0.532979621,12712,0.355253809,80891,0.579421822,37458,4.918491961,9430,10.550996483,24618,5.214120865,114658,-14.301303516,-128621,-10.984615172,-13963,-2011,27.178294574
01/10/2006,2006 Q4,402258,0.753160293,250233,0.046778295,12557,-1.219320327,81157,0.328837572,37720,0.699450051,8940,-5.196182397,26289,6.787716305,112277,-2.076610441,-130393,1.377691046,-18116,3478,-10.917951268
01/01/2007,2007 Q1,405329,0.763440379,251557,0.529106872,12660,0.820259616,81621,0.571731336,38637,2.431071050,8480,-5.145413870,25430,-3.267526342,115112,2.525005121,-133631,2.483262138,-18519,5463,2.282921219
01/04/2007,2007 Q2,407767,0.601486694,253823,0.900789881,12556,-0.821484992,81615,-0.007351049,39200,1.457152470,9093,7.228773585,25398,-0.125835627,118328,2.793800820,-132896,-0.550022076,-14568,650,-3.524071023
01/07/2007,2007 Q3,411205,0.843128551,257282,1.362760664,12767,1.680471488,82043,0.524413404,39212,0.030612245,8442,-7.159353349,25160,-0.937081660,120849,2.130518559,-136147,2.446273778,-15298,1597,5.827692308
01/10/2007,2007 Q4,413131,0.468379519,259024,0.677078070,12756,-0.086159630,81420,-0.759357898,39764,1.407732327,10021,18.704098555,26051,3.541335453,122922,1.715363801,-135601,-0.401037114,-12679,-3226,-12.080150282
01/01/2008,2008 Q1,414424,0.312975787,258181,-0.325452468,12192,-4.421448730,82360,1.154507492,41649,4.740468766,9863,-1.576688953,21200,-18.621166174,122443,-0.389678007,-135236,-0.269172056,-12793,1772,-6.197148171
01/04/2008,2008 Q2,413465,-0.231405517,255964,-0.858699904,12540,2.854330709,82581,0.268334143,42050,0.962808231,10552,6.985704147,20252,-4.471698113,124798,1.923343923,-134545,-0.510958620,-9747,-727,-5.641083521
01/07/2008,2008 Q3,406584,-1.664227927,253492,-0.965760810,12929,3.102073365,84190,1.948390066,40400,-3.923900119,10180,-3.525398029,18386,-9.213904800,122209,-2.074552477,-132772,-1.317774722,-10563,-2430,9.370013755
01/10/2008,2008 Q4,397522,-2.228813726,248885,-1.817414356,13208,2.157939516,84112,-0.092647583,37925,-6.126237624,10905,7.121807466,17679,-3.845317089,115540,-5.457044898,-125817,-5.238303257,-10277,-4915,4.090534979
01/01/2009,2009 Q1,390406,-1.790089605,246834,-0.824075376,12978,-1.741368867,83994,-0.140289138,36164,-4.643375082,11375,4.309949564,13930,-21.205950563,110702,-4.187294443,-117563,-6.560321737,-6861,-8008,2.517192269
01/04/2009,2009 Q2,389388,-0.260754189,244101,-1.107221858,13121,1.101864694,83790,-0.242874491,34328,-5.076872027,10506,-7.639560440,12930,-7.178750897,110225,-0.430886524,-117575,0.010207293,-7350,-2038,-2.982017982
01/07/2009,2009 Q3,390167,0.200057526,244914,0.333058857,13164,0.327718924,84379,0.702947846,34264,-0.186436728,11799,12.307252998,14821,14.624903326,111202,0.886368791,-118689,0.947480332,-7487,-5687,7.161923454
01/10/2009,2009 Q4,391685,0.389064170,246636,0.703103947,12818,-2.628380431,84980,0.712262530,33897,-1.071095027,11873,0.627171794,14718,-0.694959854,112961,1.581806083,-122787,3.452720977,-9826,-3411,-1.600844030
01/01/2010,2010 Q1,393678,0.508827246,245058,-0.639809274,12794,-0.187236698,83776,-1.416803954,35238,3.956102310,11744,-1.086498779,14285,-2.941975812,113877,0.810899337,-124587,1.465953236,-10710,1493,-5.750806215
01/04/2010,2010 Q2,397525,0.977194560,247757,1.101371920,12750,-0.343911208,84578,0.957314744,35282,0.124865202,11625,-1.013283379,15273,6.916345817,118869,4.383677125,-128609,3.228266191,-9740,1,-3.997320831
01/07/2010,2010 Q3,400096,0.646751777,247227,-0.213919284,12827,0.603921569,84390,-0.222280026,36447,3.301967009,11799,1.496774194,17302,13.284881818,117604,-1.064196721,-131520,2.263449681,-13916,4020,16076.000000000
01/10/2010,2010 Q4,400195,0.024744061,246914,-0.126604295,12966,1.083651672,84494,0.123237350,36767,0.877987214,11767,-0.271209425,17332,0.173390359,122479,4.145267168,-133459,1.474300487,-10980,935,-3.069651741
01/01/2011,2011 Q1,402341,0.536238584,245843,-0.433754263,13133,1.287983958,84357,-0.162141691,36950,0.497728942,11842,0.637375712,15930,-8.089083776,125029,2.081989566,-130930,-1.894963996,-5901,187,-3.200000000
01/04/2011,2011 Q2,403260,0.228413212,245745,-0.039862839,13683,4.187923551,84273,-0.099576799,37636,1.856562923,10355,-12.557000507,15577,-2.215944758,124751,-0.222348415,-129382,-1.182311159,-4631,622,9.304812834
01/07/2011,2011 Q3,406068,0.696324952,246525,0.317402185,13413,-1.973251480,83988,-0.338186608,38587,2.526836008,10777,4.075325930,16498,5.912563395,123896,-0.685365248,-130488,0.854832975,-6592,2872,14.469453376
01/10/2011,2011 Q4,406008,-0.014775850,247730,0.488794240,13030,-2.855438753,84676,0.819164643,39165,1.497913805,10286,-4.555998887,17176,4.109589041,125776,1.517401692,-132477,1.524278095,-6701,646,-3.100278552
01/01/2012,2012 Q1,406283,0.067732656,248899,0.471884713,12683,-2.663085188,87671,3.537011668,39224,0.150644708,11103,7.942834921,16256,-5.356311132,125679,-0.077121231,-133883,1.061316304,-8204,-1349,-12.352941176
01/04/2012,2012 Q2,405560,-0.177954775,249765,0.347932294,12662,-0.165575968,85432,-2.553866159,38912,-0.795431369,10879,-2.017472755,15755,-3.081938976,124722,-0.761463729,-134157,0.204656304,-9435,1590,-8.714603410
01/07/2012,2012 Q3,408938,0.832922379,250271,0.202590435,12529,-1.050386985,85968,0.627399569,40116,3.094161184,9478,-12.878021877,15344,-2.608695652,127234,2.014079312,-136306,1.601854544,-9072,4304,6.827672956
01/10/2012,2012 Q4,407557,-0.337704004,251924,0.660484035,12062,-3.727352542,86089,0.140750047,40486,0.922325257,9641,1.719772104,15503,1.036235662,125158,-1.631639342,-135243,-0.779862955,-10085,1937,-2.199814126
01/01/2013,2013 Q1,409709,0.528024301,253130,0.478715803,12384,2.669540706,85883,-0.239287249,40776,0.716296992,9618,-0.238564464,15772,1.735148036,123869,-1.029898209,-131617,-2.681099946,-7748,-106,-4.218895199
01/04/2013,2013 Q2,412397,0.656075410,253601,0.186070399,12793,3.302648579,86977,1.273826019,40479,-0.728369629,9437,-1.881888126,16583,5.142023840,131176,5.898973916,-136210,3.489670787,-5034,-2439,88.037735849
01/07/2013,2013 Q3,415915,0.853061492,254849,0.492111624,12803,0.078167748,87470,0.566816515,41991,3.735270140,9447,0.105965879,16929,2.086474100,125102,-4.630420199,-138317,1.546876147,-13215,5641,-13.251332513
01/10/2013,2013 Q4,418477,0.615991248,255671,0.322543938,12671,-1.031008357,87378,-0.105178918,43122,2.693434307,9607,1.693659363,17257,1.937503692,125350,0.198238238,-136372,-1.406190128,-11022,3793,-1.310405956
01/01/2014,2014 Q1,421593,0.744604841,257416,0.682517767,12720,0.386709810,87136,-0.276957587,43505,0.888177728,10229,6.474445717,17899,3.720229472,124901,-0.358197048,-133601,-2.031942041,-8700,1388,-2.536250989
01/04/2014,2014 Q2,425437,0.911779845,258879,0.568340740,12882,1.273584906,87983,0.972043702,44951,3.323755890,8742,-14.537100401,18836,5.234929326,124355,-0.437146220,-133232,-0.276195537,-8877,2041,1.881844380